id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
262,158,Onampakkam Sri Oneeswarar Temple,Onampakkam Sri Oneeswarar Temple,"Sri Oneeswarar (Narmadhai Panadal Ana Swami), Ambal Sri Kodiaidai Amman, Shiva Goshta Murthys, Vinayagar, Subramaniyar",Onambakkam village,"Maruvathur, Seyyur",,,Intact,Functional,Well-connected via Maruvathur-Seyyur road,"This very ancient temple has now been shifted to a new location.Narmadhai Panadal Ana Swami is known as Sri Oneeswarar.Shiva Goshta Murthys, Vinayagar, Subramaniyar, Ambal idols have all been newly consecrated.The main tree of this temple is Rudraksha.This tree can still be seen today.The temple pond is nearby.This 1800 year old temple is considered very powerful.Ambal Sri Kodiaidai Amman.All the Shivalaya Utsavams are held.In this village, Kodiyathamman and Hahanayamman.There are Kanniyamman and Mariyamman temples.Mr Sriramulu-9791126344, 9843395667, Mr Mohankumar-8110813487, Mr Kannan-9962156961 for Vivarankal.Onambakkam village is on the Maruvathur-Seyyur road."
263,159,Netrampakkam Sivan Temple,Sri Nandakeswarar Temple (Netrampakkam Sivan Temple),"Sri Nandakeswarar (Shiva), Sri Chandrahasa Iswari (Ambal)",Netrampakkam,Kattdevathur (Katudevathur),Chengalpattu,,Vettaiveli,Non-Functional,"Well-connected by bus from Maduranthakam, Chengalpattu, Acharapakkam via Katudevathur bus stand","Sri Nandakeswarar Temple This very ancient temple has been completely destroyed and now a new temple is being built.The Isan name in this place is Sri Nandakeswarar.Ambal Shri Chandrahasa Iswari.Murthy, Thalam and Thirtham are all three situated together. Creeping Watts The divine wats of Chandrahasam and Nandakam are worshiping Isaan and are still around here and there.Chandrahasam is the sword in Sri Navadurga's hand.Nandagam is the sword in the hand of Sri Mahavishnu. There are two Theerthams in this place.One is Chandrahasa Theertha.The other is Nandaka Theertha or Kadka Theertha. place of remedy If you bathe in these two Theerthas and worship Isan and Ambala, all kinds of mental turmoil and confusion will be removed and your mind will become clear.In addition, there will be money savings without overspending. This temple is now newly built and renovation work is going on.Those who wish to participate in this rare charity can contact the following persons. Mr. Mohan- 9444500344, Mr. Narayanasamy Rediyar-9443989987, Priest Guna Asari-9941442228, Mr. Sukumar Rediyar-9786267086. Other temples here Vinayagar Temple, Mariamman Temple, Bhajanai Math, Ponniyamman Temple.There is a belief here that once you climb the Deepam hill in the sanctum sanctorum of Mariamman temple, if you hold the mortar in the lamp on your forehead, all ailments will be cured.Ashtabhuja Durga and Jeshta Devi idol can be found in Ponniyamman temple here.A bhajani set is required for the bhajani mutt here.Can someone help. Temple location You can reach this town by taking the road that forks on the left side in the town called Kattdevathur on the Maruvathur Seyyur road.Buses Maduranthakam- Seyyur, Chengalpattu- Kadapakkam, Acharapakkam- Seyyur.Bus Stand-Katudevathur"
264,159,Netrampakkam Sivan Temple,Vinayagar Temple,Vinayagar (Ganesha),Netrampakkam,Kattdevathur,Chengalpattu,,,,"Well-connected by bus from Maduranthakam, Chengalpattu, Acharapakkam via Katudevathur bus stand","Sri Nandakeswarar Temple This very ancient temple has been completely destroyed and now a new temple is being built.The Isan name in this place is Sri Nandakeswarar.Ambal Shri Chandrahasa Iswari.Murthy, Thalam and Thirtham are all three situated together. Creeping Watts The divine wats of Chandrahasam and Nandakam are worshiping Isaan and are still around here and there.Chandrahasam is the sword in Sri Navadurga's hand.Nandagam is the sword in the hand of Sri Mahavishnu. There are two Theerthams in this place.One is Chandrahasa Theertha.The other is Nandaka Theertha or Kadka Theertha. place of remedy If you bathe in these two Theerthas and worship Isan and Ambala, all kinds of mental turmoil and confusion will be removed and your mind will become clear.In addition, there will be money savings without overspending. This temple is now newly built and renovation work is going on.Those who wish to participate in this rare charity can contact the following persons. Mr. Mohan- 9444500344, Mr. Narayanasamy Rediyar-9443989987, Priest Guna Asari-9941442228, Mr. Sukumar Rediyar-9786267086. Other temples here Vinayagar Temple, Mariamman Temple, Bhajanai Math, Ponniyamman Temple.There is a belief here that once you climb the Deepam hill in the sanctum sanctorum of Mariamman temple, if you hold the mortar in the lamp on your forehead, all ailments will be cured.Ashtabhuja Durga and Jeshta Devi idol can be found in Ponniyamman temple here.A bhajani set is required for the bhajani mutt here.Can someone help. Temple location You can reach this town by taking the road that forks on the left side in the town called Kattdevathur on the Maruvathur Seyyur road.Buses Maduranthakam- Seyyur, Chengalpattu- Kadapakkam, Acharapakkam- Seyyur.Bus Stand-Katudevathur"
265,159,Netrampakkam Sivan Temple,Mariamman Temple,Mariamman,Netrampakkam,Kattdevathur,Chengalpattu,,,Functional,"Well-connected by bus from Maduranthakam, Chengalpattu, Acharapakkam via Katudevathur bus stand","Sri Nandakeswarar Temple This very ancient temple has been completely destroyed and now a new temple is being built.The Isan name in this place is Sri Nandakeswarar.Ambal Shri Chandrahasa Iswari.Murthy, Thalam and Thirtham are all three situated together. Creeping Watts The divine wats of Chandrahasam and Nandakam are worshiping Isaan and are still around here and there.Chandrahasam is the sword in Sri Navadurga's hand.Nandagam is the sword in the hand of Sri Mahavishnu. There are two Theerthams in this place.One is Chandrahasa Theertha.The other is Nandaka Theertha or Kadka Theertha. place of remedy If you bathe in these two Theerthas and worship Isan and Ambala, all kinds of mental turmoil and confusion will be removed and your mind will become clear.In addition, there will be money savings without overspending. This temple is now newly built and renovation work is going on.Those who wish to participate in this rare charity can contact the following persons. Mr. Mohan- 9444500344, Mr. Narayanasamy Rediyar-9443989987, Priest Guna Asari-9941442228, Mr. Sukumar Rediyar-9786267086. Other temples here Vinayagar Temple, Mariamman Temple, Bhajanai Math, Ponniyamman Temple.There is a belief here that once you climb the Deepam hill in the sanctum sanctorum of Mariamman temple, if you hold the mortar in the lamp on your forehead, all ailments will be cured.Ashtabhuja Durga and Jeshta Devi idol can be found in Ponniyamman temple here.A bhajani set is required for the bhajani mutt here.Can someone help. Temple location You can reach this town by taking the road that forks on the left side in the town called Kattdevathur on the Maruvathur Seyyur road.Buses Maduranthakam- Seyyur, Chengalpattu- Kadapakkam, Acharapakkam- Seyyur.Bus Stand-Katudevathur"
266,159,Netrampakkam Sivan Temple,Ponniyamman Temple,Ponniyamman (with Ashtabhuja Durga and Jeshta Devi idols),Netrampakkam,Kattdevathur,Chengalpattu,,,Functional,"Well-connected by bus from Maduranthakam, Chengalpattu, Acharapakkam via Katudevathur bus stand","Sri Nandakeswarar Temple This very ancient temple has been completely destroyed and now a new temple is being built.The Isan name in this place is Sri Nandakeswarar.Ambal Shri Chandrahasa Iswari.Murthy, Thalam and Thirtham are all three situated together. Creeping Watts The divine wats of Chandrahasam and Nandakam are worshiping Isaan and are still around here and there.Chandrahasam is the sword in Sri Navadurga's hand.Nandagam is the sword in the hand of Sri Mahavishnu. There are two Theerthams in this place.One is Chandrahasa Theertha.The other is Nandaka Theertha or Kadka Theertha. place of remedy If you bathe in these two Theerthas and worship Isan and Ambala, all kinds of mental turmoil and confusion will be removed and your mind will become clear.In addition, there will be money savings without overspending. This temple is now newly built and renovation work is going on.Those who wish to participate in this rare charity can contact the following persons. Mr. Mohan- 9444500344, Mr. Narayanasamy Rediyar-9443989987, Priest Guna Asari-9941442228, Mr. Sukumar Rediyar-9786267086. Other temples here Vinayagar Temple, Mariamman Temple, Bhajanai Math, Ponniyamman Temple.There is a belief here that once you climb the Deepam hill in the sanctum sanctorum of Mariamman temple, if you hold the mortar in the lamp on your forehead, all ailments will be cured.Ashtabhuja Durga and Jeshta Devi idol can be found in Ponniyamman temple here.A bhajani set is required for the bhajani mutt here.Can someone help. Temple location You can reach this town by taking the road that forks on the left side in the town called Kattdevathur on the Maruvathur Seyyur road.Buses Maduranthakam- Seyyur, Chengalpattu- Kadapakkam, Acharapakkam- Seyyur.Bus Stand-Katudevathur"
267,160,Vilanganur Sivan Temple,Vilanganur Sivan Temple,Sri Jambukeswarar,"Tulunuur Village, Kanchi District, Madhuranthakam Circle, 7 Kms from Seyyur",Seyyur,Kanchi District,,Dilapidated,Non-Functional,Remote,"Location Tulunuur Village, Kanchi District, Madhuranthakam Circle, 7 Kms from Seyyur.A huge royal tree grows over the ruined stone temple.He is seated inside the sanctum sanctorum with the name Sri Jambukeswarar.A broken Nandi idol in front of the Swami.Near the temple is Thirukulam.No one comes here.For more details Mr. Subramani-9787758802, Mr. Kuppan-9159016973 Mr. Thanasekara Chettiar - 9445728195 Chennai-Maduranthagam- Seyyur road.This village.(7, 81, 81 81)"
268,161,Jameenpudur Sivan,Jameenpudur Sivan,"Shiva (Shivlingam), Nandi","Zameen Budoor village, eastern bank of pond","Madhuranthagam Circle, Seyyur",,,,Functional,"Well-connected by bus (Chennai-Irumpedu 87, Maduranthagam-Irumpedu T 8)","A Shivlingam made of Narmada Panam is found outside the cut in a village called Zameen Budoor, on the eastern bank of the pond.An idol of Nandi is also seen nearby.The pot is tilted.Located 7 kms from Madhuranthagam Circle, Seyyur.Bus Chennai - Irumpedu (87), Maduranthagam-Irumpedu T 8. Contact Mr. Pachaiyappan 8754359370, Mr. Mani-9677156215, Mr. Murali-9791069355 Mr. Ravi-9047108136"
269,162,193 Salayur Sivalayam,Salayur Sivalayam,"Lord Shiva (Shivlingam), Kanni Kooga Ganapati, Ambal (Nitnamulai Amman), Dakshinamurthy, Maha Vishnu, Brahma, Balamurugan, Sun, Bhairava",Saliyur village,Seyur,,,Intact,Functional,"Well-connected by bus (Chennai-Irumpedu route 87, Madhuranthakam-Irumpedu route 8), 11 km from Seyur on Chennai-Puducherry road","The people of Saaliyur village have built a small temple for Lord Shiva, which has been outside the forest for a long time.Apart from Shivlingam, Kanni Kooga Ganapati, Ambal, Dakshinamurthy, Maha Vishnu, Brahma, Balamurugan, Sun, Bhairava have been newly consecrated.Swami Thirunam Sri Annamalaiyar.Ambalsree Nitnamulai Amman.Puja is being performed here daily.Contact Mr. Dhanapal-8940748433, Mr. Palani-9952876811.Festivals like Pradosha, Shivratri, Annabhishekam, Arudradarshanam, Karthikai Deepam are held.Other temples in this village are Draupadi Amman, Mariyamman, Saliyamman, Gangaiyamman, Iyanar.11 km from Seyur on Chennai- Puducherry road.Saliyur village.Bus, Chennai-Irumpedu (87, Madhuranthakam-Irumpedu tee 8"
270,163,Vettur Sri Kallala Eswarar Temple,Vettur Sri Kallala Eswarar Temple,Sri Kallala Eshwar (Shiva lingam),"Vetur village, 10 km from Chittamur",Chittamur,Kanchipuram,,Intact,Functional,"Well-connected by road, bus routes available (Chennai-Irumpedu 87, Madurandakam-Irumpedu T 8)","The people of Vetur village have built a new temple for the Shiva lingam that was in a ruined stone temple under a kallala tree.Swami's name is Sri Kallala Eshwar.At present a pooja is taking place.A temple pond is located nearby.Pradosham Mahashivaratri Pujas are held.The village is 10 km from Chittamur Good Road.Bus Chennai- Irumpedu 87, Madurandakam- Irumpedu T 8. Contact Mr. Ganesan-9865848358, Mr. Ramachandra Babu- 9751736621, Mr. Rajendra Babu-9444500503, Mr. Duraikannu-9626194302. This town has the temples of Bhudevi Sametha Sri Narayana Perumal, Sri Pachaiyamman, Sri Durkaiamman, Sri Gangaiyamman, Sri Periyapalayathamman."
271,163,Vettur Sri Kallala Eswarar Temple,Bhudevi Sametha Sri Narayana Perumal Temple,Bhudevi Sametha Sri Narayana Perumal,Vetur village,Chittamur,Kanchipuram,,,,"Well-connected by road, bus routes available","The people of Vetur village have built a new temple for the Shiva lingam that was in a ruined stone temple under a kallala tree.Swami's name is Sri Kallala Eshwar.At present a pooja is taking place.A temple pond is located nearby.Pradosham Mahashivaratri Pujas are held.The village is 10 km from Chittamur Good Road.Bus Chennai- Irumpedu 87, Madurandakam- Irumpedu T 8. Contact Mr. Ganesan-9865848358, Mr. Ramachandra Babu- 9751736621, Mr. Rajendra Babu-9444500503, Mr. Duraikannu-9626194302. This town has the temples of Bhudevi Sametha Sri Narayana Perumal, Sri Pachaiyamman, Sri Durkaiamman, Sri Gangaiyamman, Sri Periyapalayathamman."
272,163,Vettur Sri Kallala Eswarar Temple,Sri Pachaiyamman Temple,Sri Pachaiyamman,Vetur village,Chittamur,Kanchipuram,,,,"Well-connected by road, bus routes available","The people of Vetur village have built a new temple for the Shiva lingam that was in a ruined stone temple under a kallala tree.Swami's name is Sri Kallala Eshwar.At present a pooja is taking place.A temple pond is located nearby.Pradosham Mahashivaratri Pujas are held.The village is 10 km from Chittamur Good Road.Bus Chennai- Irumpedu 87, Madurandakam- Irumpedu T 8. Contact Mr. Ganesan-9865848358, Mr. Ramachandra Babu- 9751736621, Mr. Rajendra Babu-9444500503, Mr. Duraikannu-9626194302. This town has the temples of Bhudevi Sametha Sri Narayana Perumal, Sri Pachaiyamman, Sri Durkaiamman, Sri Gangaiyamman, Sri Periyapalayathamman."
273,163,Vettur Sri Kallala Eswarar Temple,Sri Durkaiamman Temple,Sri Durkaiamman,Vetur village,Chittamur,Kanchipuram,,,,"Well-connected by road, bus routes available","The people of Vetur village have built a new temple for the Shiva lingam that was in a ruined stone temple under a kallala tree.Swami's name is Sri Kallala Eshwar.At present a pooja is taking place.A temple pond is located nearby.Pradosham Mahashivaratri Pujas are held.The village is 10 km from Chittamur Good Road.Bus Chennai- Irumpedu 87, Madurandakam- Irumpedu T 8. Contact Mr. Ganesan-9865848358, Mr. Ramachandra Babu- 9751736621, Mr. Rajendra Babu-9444500503, Mr. Duraikannu-9626194302. This town has the temples of Bhudevi Sametha Sri Narayana Perumal, Sri Pachaiyamman, Sri Durkaiamman, Sri Gangaiyamman, Sri Periyapalayathamman."
